CLAVE_ENTIDAD;ENTIDAD_FEDERATIVA;city;lat;lng;CLAVE_ENTIDAD;country;iso2;admin_name;capital;population;population_proper
;;Tehuacán;18.4617;-97.3928;Mexico;MX;;Puebla;minor;274906;274906
;;Apaseo el Grande;20.5449;-100.6846;Mexico;MX;;Guanajuato;minor;;
;;Ciudad Benito Juárez;25.65;-100.0833;Mexico;MX;;Nuevo León;minor;260683;260683
;;Ciudad Santa Catarina;25.6833;-100.45;Mexico;MX;;Nuevo León;minor;259896;259896
;;Texcoco;19.52;-98.88;Mexico;MX;;México;minor;259308;105165
;;Los Mochis;25.7835;-108.9937;Mexico;MX;;Sinaloa;minor;256613;256613
;;Playa del Carmen;20.6275;-87.0811;Mexico;MX;;Quintana Roo;minor;252087;252087
;;La Paz;24.1422;-110.3108;Mexico;MX;3;Baja California Sur;admin;244219;244219
;;San Juan del Río;20.3833;-99.9833;Mexico;MX;;Querétaro;minor;241699;241699
;;Arteaga;25.4453;-100.8467;Mexico;MX;5;Coahuila de Zaragoza;minor;8446;8446
;;Ameca;20.5486;-104.0431;Mexico;MX;;Jalisco;minor;;
;;Campeche;19.85;-90.5306;Mexico;MX;4;Campeche;admin;220389;220389
;;Heroica Nogales;31.3186;-110.9458;Mexico;MX;;Sonora;minor;220292;220292
;;Córdoba;18.8942;-96.9347;Mexico;MX;;Veracruz;minor;218153;218153
;;Candela;26.8333;-100.6667;Mexico;MX;5;Coahuila de Zaragoza;minor;1672;1672
;;Soledad de Graciano Sánchez;22.1833;-100.9333;Mexico;MX;;San Luis Potosí;minor;215968;215968
;;Guadalupe;22.7528;-102.5078;Mexico;MX;;Zacatecas;minor;215000;215000
;;Ciudad Madero;22.25;-97.8333;Mexico;MX;;Tamaulipas;minor;209175;197216
;;Buenavista;19.6083;-99.1694;Mexico;MX;;México;;206081;206081
;;Metepec;19.2511;-99.6047;Mexico;MX;;Morelos;minor;206005;206005
;;Poza Rica de Hidalgo;20.5333;-97.45;Mexico;MX;;Veracruz;minor;200119;200119
;;Cholula de Rivadabia;19.0633;-98.3064;Mexico;MX;;Puebla;;193554;129032
;;San Luis Río Colorado;32.4767;-114.7625;Mexico;MX;;Sonora;minor;192739;192739
;;San Pablo de las Salinas;19.6656;-99.0917;Mexico;MX;;México;;189453;189453
29;TLAXCALA;Acapulco de Juárez;16.8636;-99.8825;12;Mexico;MX;Guerrero;minor;687608;673478
;;Ciudad de Armería;18.9378;-103.9642;Mexico;MX;6;Colima;minor;;
;;Ciudad Valles;21.9833;-99.0167;Mexico;MX;;San Luis Potosí;minor;176935;176935
;;Cuautla;18.8167;-98.95;Mexico;MX;;Morelos;minor;175208;175208
;;Chicoloapan;19.4167;-98.9;Mexico;MX;;México;minor;175053;175053
;;Atarjea;21.2678;-99.7183;Mexico;MX;;Guanajuato;minor;5610;5610
;;Comitán;16.2511;-92.1342;Mexico;MX;7;Chiapas;minor;170000;170000
;;Ciudad del Carmen;18.6333;-91.8333;Mexico;MX;4;Campeche;minor;169466;169466
;;Cuauhtémoc;28.405;-106.8667;Mexico;MX;8;Chihuahua;minor;168482;168482
;;Arandas;20.7052;-102.3464;Mexico;MX;;Jalisco;minor;;
;;Castaños;26.7833;-101.4167;Mexico;MX;5;Coahuila de Zaragoza;minor;22401;22401
;;San Cristóbal;16.7367;-92.6383;Mexico;MX;7;Chiapas;minor;158027;158027
;;Navojoa;27.0813;-109.4461;Mexico;MX;;Sonora;minor;157729;157729
;;Jiutepec;18.8833;-99.1667;Mexico;MX;;Morelos;minor;153704;153704
;;Papantla de Olarte;20.4478;-97.32;Mexico;MX;;Veracruz;minor;152863;152863
;;San Martin Texmelucan de Labastida;19.2833;-98.4333;Mexico;MX;;Puebla;minor;152051;152051
;;Acaxochitlán;20.1667;-98.2;Mexico;MX;;Hidalgo;minor;34892;34892
;;Chetumal;18.5036;-88.3053;Mexico;MX;;Quintana Roo;admin;151243;151243
;;Celaya;20.5222;-100.8122;Mexico;MX;;Guanajuato;minor;468469;468469
;;Delicias;28.1931;-105.4717;Mexico;MX;8;Chihuahua;minor;148045;148045
;;Ciudad Manuel Doblado;20.7303;-101.9533;Mexico;MX;;Guanajuato;minor;38309;37145
;;García;25.8167;-100.5833;Mexico;MX;;Nuevo León;minor;145867;145867
;;Tuxtepec;18.1;-96.1167;Mexico;MX;;Oaxaca;;144555;144555
;;Túxpam de Rodríguez Cano;20.95;-97.4;Mexico;MX;;Veracruz;minor;143362;143362
;;Zamora;19.9833;-102.2833;Mexico;MX;;Michoacán de Ocampo;;141627;141627
;;Atemajac de Brizuela;20.1374;-103.7259;Mexico;MX;;Jalisco;minor;;
;;Comonfort;20.7167;-100.7667;Mexico;MX;;Guanajuato;minor;67642;67642
;;Kanasín;20.9344;-89.5578;Mexico;MX;;Yucatán;minor;139753;139753
;;Coroneo;20.1333;-100.3333;Mexico;MX;;Guanajuato;minor;10347;10347
;;Zacatecas;22.7736;-102.5736;Mexico;MX;;Zacatecas;admin;138152;138152
;;Boca del Rio;19.1056;-96.1078;Mexico;MX;;Veracruz;minor;138058;138058
;;Colima;19.2433;-103.7247;Mexico;MX;6;Colima;admin;137383;137383
;;Zinacantepec;19.2833;-99.7333;Mexico;MX;;México;minor;136167;136167
;;Santa María Texmelucan;19.2833;-98.4333;Mexico;MX;;Puebla;;135500;75518
;;Heroica Guaymas;27.9183;-110.8989;Mexico;MX;;Sonora;minor;134153;113082
;;Apatzingan de la Constitucion;19.0886;-102.3508;Mexico;MX;;Michoacán de Ocampo;;128250;128250
;;Ixtlahuaca;19.5689;-99.7669;Mexico;MX;;México;minor;126505;126505
;;Ciudad de Atlixco;18.9;-98.45;Mexico;MX;;Puebla;minor;125000;86690
;;Ciudad Hidalgo;19.6923;-100.5574;Mexico;MX;;Michoacán de Ocampo;minor;122619;122619
;;San Pedro Garza García;25.6667;-100.3;Mexico;MX;;Nuevo León;minor;122009;122009
;;Acatepec;17.3246;-98.9115;Mexico;MX;12;Guerrero;minor;;
;;Miramar;22.3375;-97.8694;Mexico;MX;;Tamaulipas;;118614;118614
;;Comala;19.3208;-103.7603;Mexico;MX;6;Colima;minor;20888;9442
;;Orizaba;18.85;-97.1;Mexico;MX;;Veracruz;minor;117273;117273
;;Temixco;18.85;-99.2333;Mexico;MX;;Morelos;minor;116143;116143
;;Actopan;20.267;-98.933;Mexico;MX;13;Hidalgo;;56429;32276
;;Las Delicias;28.2;-105.5;Mexico;MX;8;Chihuahua;;114783;102969
;;Cortazar;20.483;-100.933;Mexico;MX;;Guanajuato;minor;57748;57748
;;Coquimatlán;19.2038;-103.8086;Mexico;MX;6;Colima;minor;13358;13358
;;Ciudad Mante;22.7333;-98.95;Mexico;MX;;Tamaulipas;minor;112061;84787
;;Fresnillo;23.175;-102.8675;Mexico;MX;;Zacatecas;minor;110892;110892
;;San Antonio Enchisi;19.7072;-99.7867;Mexico;MX;;México;;110560;110560
;;Martínez de la Torre;20.0667;-97.05;Mexico;MX;;Veracruz;minor;110415;110415
;;Ahuacuotzingo;17.7;-98.9167;Mexico;MX;12;Guerrero;minor;;
;;Cuautitlán;19.6833;-99.1833;Mexico;MX;;México;minor;110385;110385
;;Parral;26.9333;-105.6667;Mexico;MX;8;Chihuahua;minor;109510;104836
;;Escuintla;15.3194;-92.6583;Mexico;MX;7;Chiapas;minor;107638;8989
;;Cuerámaro;20.6258;-101.6739;Mexico;MX;;Guanajuato;minor;25610;25610
;;Lerma;19.2847;-99.5119;Mexico;MX;;México;minor;105578;105578
;;Ajuchitlán del Progreso;18.15;-100.4833;Mexico;MX;12;Guerrero;minor;;
;;Ahuazotepec;20.0454;-98.1633;Mexico;MX;;Hidalgo;minor;;
;;Ciudad Río Bravo;25.9861;-98.0889;Mexico;MX;;Tamaulipas;minor;101481;101481
;;Doctor Mora;21.1425;-100.3192;Mexico;MX;;Guanajuato;minor;24976;23324
;;Jilotepec;19.9519;-99.5328;Mexico;MX;;México;minor;100808;87927
;;Tizayuca;19.8333;-98.9833;Mexico;MX;;Morelos;minor;100563;100563
;;San Felipe del Progreso;19.7125;-99.9511;Mexico;MX;;México;minor;100201;100201
;;La Piedad;20.3333;-102.0167;Mexico;MX;;Michoacán de Ocampo;minor;99837;99837
;;Alcozauca de Guerrero;17.4611;-98.3842;Mexico;MX;12;Guerrero;minor;;
;;Huauchinango;20.1767;-98.0528;Mexico;MX;;Puebla;minor;97753;97753
;;Santa Cruz Xoxocotlán;17.0264;-96.7333;Mexico;MX;;Oaxaca;;93188;93188
;;San José del Cabo;23.0614;-109.7081;Mexico;MX;3;Baja California Sur;minor;93069;69788
;;Teziutlan;19.8178;-97.3667;Mexico;MX;;Puebla;;92170;92170
;;Coatepec;19.4553;-96.9586;Mexico;MX;;Veracruz;minor;92127;92127
;;Tultepec;19.685;-99.1281;Mexico;MX;;México;minor;91808;91808
;;Tenancingo;18.9608;-99.5906;Mexico;MX;;México;minor;90946;90946
;;Playas de Rosarito;32.35;-117.05;Mexico;MX;2;Baja California;minor;90668;90668
;;Paraíso;18.3961;-93.2128;Mexico;MX;;Tabasco;minor;86632;86632
;;Cadereyta Jiménez;25.6;-100;Mexico;MX;;Nuevo León;minor;86445;86445
;;Santa Rosa Jauregui;20.7418;-100.4473;Mexico;MX;;Querétaro;;86376;86376
;;Guasavito;25.5655;-108.4718;Mexico;MX;;Sinaloa;;86361;86361
;;Acayucan;17.9422;-94.9103;Mexico;MX;;Veracruz;minor;83817;83817
;;Jalpa de Méndez;18.1764;-93.0631;Mexico;MX;;Tabasco;minor;83356;83356
;;Nacajuca;18.1692;-93.0197;Mexico;MX;;Tabasco;minor;83356;83356
;;Apizaco;19.4167;-98.1333;Mexico;MX;;Tlaxcala;minor;81565;81565
;;Cunduacán;18.0667;-93.1667;Mexico;MX;;Tabasco;minor;81392;81392
;;Cabo San Lucas;22.8897;-109.9156;Mexico;MX;3;Baja California Sur;;81111;68463
;;Salina Cruz;16.1671;-95.2;Mexico;MX;;Oaxaca;;81063;73648
;;Almoloya;19.7;-98.4;Mexico;MX;;Hidalgo;minor;10638;10638
;;Atengo;20.2167;-104.0833;Mexico;MX;;Jalisco;minor;5475;5475
;;Cárdenas;17.983;-93.367;Mexico;MX;;Tabasco;minor;79875;79875
;;Pátzcuaro;19.5164;-101.6097;Mexico;MX;;Michoacán de Ocampo;minor;79868;79868
;;Ciudad Guadalupe Victoria;24.4497;-104.1225;Mexico;MX;;Durango;minor;16506;16506
;;Ciudad Lázaro Cárdenas;17.9561;-102.1922;Mexico;MX;;Michoacán de Ocampo;;79200;79200
;;Agua Prieta;31.3258;-109.5489;Mexico;MX;;Sonora;minor;79138;77254
;;Sahuayo de Morelos;20.0575;-102.7239;Mexico;MX;;Michoacán de Ocampo;;78477;78477
;;Villa Victoria;19.4333;-100;Mexico;MX;;México;minor;77819;77819
;;Temoaya;19.4686;-99.5933;Mexico;MX;;Morelos;minor;77714;77714
;;Ciudad de Huajuapam de León;17.8039;-97.7758;Mexico;MX;;Oaxaca;minor;77547;77547
;;Cozumel;20.5104;-86.9493;Mexico;MX;;Quintana Roo;minor;77236;77236
;;Tacámbaro de Codallos;19.2356;-101.4569;Mexico;MX;;Michoacán de Ocampo;minor;76661;76661
;;Zacatlán;19.9319;-97.96;Mexico;MX;;Puebla;minor;76296;33736
;;Valle Alto;25.5667;-100.25;Mexico;MX;;Nuevo León;;75000;75000
;;Juchitán de Zaragoza;16.4333;-95.0194;Mexico;MX;;Oaxaca;minor;74825;74825
;;Fuentes del Valle;19.6325;-99.1386;Mexico;MX;;México;;74087;74087
;;Apan;19.7;-98.4333;Mexico;MX;;Hidalgo;minor;39247;39247
;;Tamazunchale;21.2667;-98.7833;Mexico;MX;;San Luis Potosí;minor;72685;21532
;;Guamúchil;25.4639;-108.0794;Mexico;MX;;Sinaloa;minor;72500;63743
;;Guasave;25.5744;-108.4706;Mexico;MX;;Sinaloa;minor;71196;71196
;;Tejupilco;18.9058;-100.1528;Mexico;MX;;México;minor;71077;71077
;;Ciudad Acuña;29.3242;-100.9317;Mexico;MX;5;Coahuila de Zaragoza;minor;216099;144669
;;Jacona de Plancarte;19.95;-102.3167;Mexico;MX;;México;;69744;69744
;;Atenguillo;20.3706;-104.5125;Mexico;MX;;Jalisco;minor;3899;3899
;;Rioverde;21.93;-99.98;Mexico;MX;;San Luis Potosí;minor;69613;48854
;;Dolores Hidalgo Cuna de la Independencia Nacional;21.1516;-100.9369;Mexico;MX;;Guanajuato;minor;148173;148173
;;Valle Hermoso;25.6736;-97.8144;Mexico;MX;;Tamaulipas;minor;68573;68573
;;Atotonilco el Alto;20.5506;-102.5042;Mexico;MX;;Jalisco;minor;;
;;Tepotzotlán;19.7161;-99.2236;Mexico;MX;;México;minor;67724;67724
;;Matehuala;23.6528;-100.6444;Mexico;MX;;San Luis Potosí;minor;67717;59532
;;Guanajuato;21.0178;-101.2567;Mexico;MX;;Guanajuato;admin;171709;72237
;;Santa Catarina Otzolotepec;18.5667;-97.25;Mexico;MX;;Puebla;;67611;67611
;;Huanímaro;20.3675;-101.4969;Mexico;MX;;Guanajuato;minor;19693;19693
;;Jiquílpan de Juárez;19.9942;-102.7172;Mexico;MX;;México;minor;65000;65000
;;Tecate;32.5667;-116.6331;Mexico;MX;2;Baja California;minor;64764;64764
;;Santo Domingo Tehuantepec;16.3184;-95.2478;Mexico;MX;;Oaxaca;minor;64639;64639
;;Irapuato;20.6667;-101.35;Mexico;MX;;Guanajuato;minor;380941;380941
;;Santiago Tianguistenco;19.1797;-99.4706;Mexico;MX;;México;minor;64365;64365
;;Misantla;19.9333;-96.85;Mexico;MX;;Veracruz;minor;64249;64249
;;Colonia del Sol;22.9125;-109.9208;Mexico;MX;3;Baja California Sur;;64055;48032
;;Ciudad Melchor Múzquiz;27.8793;-101.5161;Mexico;MX;5;Coahuila de Zaragoza;minor;;
;;Cuatro Ciénegas de Carranza;26.9861;-102.0664;Mexico;MX;5;Coahuila de Zaragoza;minor;10309;10309
;;Teoloyucan;19.7442;-99.1811;Mexico;MX;;México;minor;63115;41333
;;Linares;24.8597;-99.5679;Mexico;MX;;Nuevo León;minor;63104;63104
;;Puerto Peñasco;31.3167;-113.5369;Mexico;MX;;Sonora;minor;62177;56756
;;Ocoyoacac;19.2739;-99.4606;Mexico;MX;;Morelos;minor;61805;61805
;;Valle de Bravo;19.1925;-100.1306;Mexico;MX;;México;minor;61559;61559
;;Montemorelos;25.1872;-99.8267;Mexico;MX;;Nuevo León;minor;60829;45108
;;Huatusco;19.1489;-96.9661;Mexico;MX;;Veracruz;minor;60674;60674
;;Atoyac;20.0097;-103.5165;Mexico;MX;;Jalisco;minor;;
;;Amozoc;19.0333;-98.05;Mexico;MX;;Puebla;minor;60517;60517
;;Heroica Caborca;30.7167;-112.15;Mexico;MX;;Sonora;minor;59922;59922
;;Huehuetoca;19.8342;-99.2033;Mexico;MX;;México;minor;59721;59721
;;Altamira;22.3375;-97.8694;Mexico;MX;;Tamaulipas;minor;59536;59536
;;Jaral del Progreso;20.3667;-101.0667;Mexico;MX;;Guanajuato;minor;31780;31780
;;Tlaltenango de Sánchez Román;21.7815;-103.3059;Mexico;MX;;Zacatecas;minor;58560;58560
;;Sombrerete;23.6333;-103.6397;Mexico;MX;;Zacatecas;minor;58201;21702
;;Temascalcingo;19.9147;-100.0036;Mexico;MX;;México;minor;58169;58169
;;Jerécuaro;20.1506;-100.5103;Mexico;MX;;Guanajuato;minor;;
;;Juventino Rosas;20.65;-101;Mexico;MX;;Guanajuato;minor;65479;65479
;;Ciudad Cuauhtémoc;22.1833;-97.8333;Mexico;MX;;Veracruz;minor;57646;57646
;;Jerez de García Salinas;22.6481;-102.9903;Mexico;MX;;Zacatecas;minor;57610;57610
;;Santiago Tuxtla;18.4654;-95.3;Mexico;MX;;Veracruz;minor;57466;57466
;;Cosamaloapan;18.3667;-95.8;Mexico;MX;;Veracruz;minor;57147;57147
;;Tezonapa;18.6058;-96.6875;Mexico;MX;;Veracruz;minor;56956;56956
;;Acambay;19.9539;-99.8431;Mexico;MX;;México;minor;56847;56847
;;Amealco;20.1881;-100.1439;Mexico;MX;;Querétaro;minor;56457;56457
;;Apaxco de Ocampo;19.9733;-99.17;Mexico;MX;13;Hidalgo;minor;13836;13836
;;Etchojoa;26.8667;-109.65;Mexico;MX;;Sonora;minor;56129;56129
;;Nuevo Casas Grandes;30.4167;-107.9167;Mexico;MX;8;Chihuahua;minor;55553;55553
;;Jocotitlán;19.7072;-99.7867;Mexico;MX;;México;minor;55403;55403
;;Tequisquiapan;20.5206;-99.8958;Mexico;MX;;Querétaro;minor;54929;54929
7;CHIAPAS;León de los Aldama;21.1167;-101.6833;11;Mexico;MX;Guanajuato;minor;1454793;1238496
;;Ixhuatlán de Madero;20.6833;-98.0167;Mexico;MX;;Veracruz;minor;54132;54132
;;Progreso;21.28;-89.67;Mexico;MX;;Yucatán;minor;53958;37369
;;Escobedo;27.235;-101.4122;Mexico;MX;5;Coahuila de Zaragoza;minor;;
;;Autlán de Navarro;19.7667;-104.3667;Mexico;MX;;Jalisco;minor;60572;60572
;;Pijijiapan;15.6867;-93.2092;Mexico;MX;7;Chiapas;minor;53525;53525
;;San José Villa de Allende;19.3747;-100.1475;Mexico;MX;;México;minor;52641;52641
;;Acatzingo;18.9817;-97.7822;Mexico;MX;;Puebla;minor;52078;52078
;;Huamantla;19.3133;-97.9228;Mexico;MX;;Tlaxcala;minor;51996;51996
;;Moroleón;20.1333;-101.2;Mexico;MX;;Guanajuato;minor;41909;41909
;;Berriozábal;16.7993;-93.2725;Mexico;MX;7;Chiapas;minor;51722;51722
;;Zumpango;19.7969;-99.0992;Mexico;MX;;México;minor;50742;50742
;;Francisco I. Madero;25.7753;-103.2731;Mexico;MX;5;Coahuila de Zaragoza;minor;50084;50084
;;Atitalaquia;20.0583;-99.2208;Mexico;MX;13;Hidalgo;;26904;26904
;;Guacharachi;27.15;-107.3167;Mexico;MX;8;Chihuahua;;49689;49689
;;Santa Lucía del Camino;17.0667;-96.6833;Mexico;MX;;Oaxaca;;49459;49459
;;Valladolid;20.6894;-88.2017;Mexico;MX;;Yucatán;;48973;48973
;;Frontera;26.926;-101.449;Mexico;MX;5;Coahuila de Zaragoza;minor;70160;70160
;;San Pedro Mixtepec;16;-97.1169;Mexico;MX;;Oaxaca;minor;48336;48336
;;General Cepeda;25.379;-101.479;Mexico;MX;5;Coahuila de Zaragoza;minor;4382;4382
;;San Buenaventura;19.2641;-99.6746;Mexico;MX;;México;;48037;48037
;;Cuetzalan;20.0333;-97.5167;Mexico;MX;;Puebla;minor;47983;47983
;;Mapastepec;15.4198;-92.9492;Mexico;MX;7;Chiapas;minor;47932;47932
;;Santiago Teyahualco;19.6667;-99.1333;Mexico;MX;;México;;47547;47547
;;Calimaya;19.1608;-99.6172;Mexico;MX;;México;minor;47033;47033
;;Tizimín;21.1425;-88.1647;Mexico;MX;;Yucatán;minor;46971;46971
;;Santa Ana Chiautempan;19.3167;-98.1833;Mexico;MX;;Tlaxcala;minor;46776;46776
;;Ayotlán;20.5281;-102.3283;Mexico;MX;;Jalisco;minor;;
;;San Francisco de los Romo;22.0833;-102.2667;Mexico;MX;1;Aguascalientes;minor;46454;46454
;;Tlalmanalco;19.2044;-98.8025;Mexico;MX;;México;minor;46130;46130
;;Ocampo;21.65;-101.5;Mexico;MX;;Guanajuato;minor;23500;23500
;;Ciudad Constitución;25.0322;-111.6703;Mexico;MX;3;Baja California Sur;minor;45888;45888
;;Atotonilco de Tula;20.05;-99.1833;Mexico;MX;13;Hidalgo;;31078;8154
;;Guerrero;28.3083;-100.3769;Mexico;MX;5;Coahuila de Zaragoza;minor;959;959
;;Chiapa de Corzo;16.7083;-93.0169;Mexico;MX;7;Chiapas;minor;45077;45077
;;Puerto Escondido;15.8619;-97.0672;Mexico;MX;;Oaxaca;;45000;25902
;;Tres Valles;18.2367;-96.1369;Mexico;MX;;Veracruz;minor;44978;44978
;;Alpoyeca;17.6667;-98.5167;Mexico;MX;12;Guerrero;minor;;
;;Simojovel de Allende;17.15;-92.7167;Mexico;MX;7;Chiapas;minor;44295;44295
;;Zongolica;18.6642;-97.0011;Mexico;MX;;Veracruz;minor;43871;43871
;;Ciudad Lerdo;25.55;-103.5167;Mexico;MX;;Durango;minor;79669;79669
;;Loreto;22.2667;-101.9833;Mexico;MX;;Zacatecas;minor;43411;43411
;;Actopan;19.5036;-96.6192;Mexico;MX;;Veracruz;minor;43388;43388
;;Hueyapan de Ocampo;18.15;-95.15;Mexico;MX;;Veracruz;minor;43309;43309
;;Villa de Zaachila;16.9508;-96.7492;Mexico;MX;;Oaxaca;minor;43279;43279
;;Jesús María;21.9667;-102.35;Mexico;MX;1;Aguascalientes;minor;43012;43012
;;Tepalcatepec;19.1833;-102.85;Mexico;MX;;Michoacán de Ocampo;minor;42879;23842
;;Atenco;19.5167;-98.9167;Mexico;MX;;México;minor;42739;42739
;;Empalme;27.9617;-110.8125;Mexico;MX;;Sonora;minor;42516;42516
;;Ayutla;20.1291;-104.3435;Mexico;MX;;Jalisco;minor;;
